Account Name,Ultimate Parent Account,Customer Segment,Annual Recurring Revenue,Account Manager,Renewal Manager,Next Renewal Date,Renewal Conversation Active?,Upsell Opportunity Open?,Upsell Pipeline ($),Book Transfer Date,Do Not Move,Health Score (0-100)
Vertex Holdings,Vertex Holdings,Enterprise,$220000,Nora Ellis,Priya Anand,05/11/2027,No,No,,,No,74
Vertex Holdings EMEA,Vertex Holdings,Enterprise,$180000,Marcus Webb,Derek Shaw,06/30/2027,No,No,,,No,68
Vertex Holdings APAC,Vertex Holdings,Enterprise,$150000,Nora Ellis,Derek Shaw,03/12/2027,No,No,,,No,81
Vertex Holdings LatAm,Vertex Holdings,Enterprise,$90000,Marcus Webb,Priya Anand,,No,No,,,No,59
Vertex Holdings Manufacturing,Vertex Holdings,Enterprise,$60000,Marcus Webb,Derek Shaw,09/28/2027,No,No,,,No,
Vertex Holdings Retail Div.,Vertex Holdings,Enterprise,$40000,Nora Ellis,Priya Anand,,No,No,,,No,77
Anchor Systems North,Anchor Systems,Enterprise,$140000,Nora Ellis,Priya Anand,07/30/2027,No,No,,,No,71
Anchor Systems South,Anchor Systems,Enterprise,$95000,Nora Ellis,Priya Anand,,No,No,,,No,66
Beacon Analytics,Beacon Analytics,Mid-Market,$130000,Yuki Tanaka,Fatima Noor,05/01/2027,No,No,,,No,70
Beacon Analytics West,Beacon Analytics,Mid-Market,$88000,Yuki Tanaka,Fatima Noor,,No,No,,,No,63
Beacon Analytics East,Beacon Analytics,Mid-Market,$76000,Yuki Tanaka,Fatima Noor,03/02/2027,No,No,,,No,
Beacon Analytics Subsidiary,Beacon Analytics,Mid-Market,$54000,Yuki Tanaka,Fatima Noor,,No,No,,,No,82
Cobalt Partners East,Cobalt Partners,SMB,$48000,Owen Clark,Tomas Reyes,04/01/2027,No,No,,,No,75
Cobalt Partners West,Cobalt Partners,SMB,$36000,Owen Clark,Tomas Reyes,,No,No,,,No,69
Delta Dynamics,,Enterprise,$320000,Nora Ellis,Derek Shaw,10/08/2026,No,No,,,No,72
